2025-04-01 00:03:17 | INFO | api_module.py | 200 : Input_Tokens=542 | Output_Tokens=47  | Time=0.138311686
2025-04-01 00:05:18 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=437  | Time=0.91980514
2025-04-01 00:05:22 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=636  | Time=1.157133319
2025-04-01 00:05:25 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=700  | Time=1.184102725
2025-04-01 00:05:29 | INFO | api_module.py | 200 : Input_Tokens=4403 | Output_Tokens=984  | Time=1.430026662
2025-04-01 00:05:31 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=357  | Time=0.727469714
2025-04-01 00:05:34 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=712  | Time=1.164618435
2025-04-01 00:05:38 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=484  | Time=0.968059607
2025-04-01 00:05:42 | INFO | api_module.py | 200 : Input_Tokens=8036 | Output_Tokens=617  | Time=1.157406786
2025-04-01 00:05:45 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=736  | Time=1.197304957
2025-04-01 00:05:47 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=630  | Time=1.055331552
2025-04-01 00:05:49 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=534  | Time=0.927182274
2025-04-01 00:05:51 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=565  | Time=1.013429925
2025-04-01 00:05:53 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=649  | Time=1.118217081
2025-04-01 00:05:56 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=997  | Time=1.595331613
2025-04-01 00:05:59 | INFO | api_module.py | 200 : Input_Tokens=8038 | Output_Tokens=697  | Time=1.181553632
2025-04-01 00:06:03 | INFO | api_module.py | 200 : Input_Tokens=8036 | Output_Tokens=386  | Time=0.773692968
2025-04-01 00:06:09 | INFO | api_module.py | 200 : Input_Tokens=3558 | Output_Tokens=405  | Time=0.734501796
2025-04-01 00:06:12 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=740  | Time=1.35086243
2025-04-01 00:06:16 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=626  | Time=1.049616646
2025-04-01 00:06:22 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=542  | Time=0.975639639
2025-04-01 00:06:26 | INFO | api_module.py | 200 : Input_Tokens=8036 | Output_Tokens=477  | Time=0.886459412
2025-04-01 00:06:28 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=423  | Time=0.893236025
2025-04-01 00:06:30 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=648  | Time=1.091381503
2025-04-01 00:06:31 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=558  | Time=1.191737597
2025-04-01 00:06:35 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=426  | Time=0.860902388
2025-04-01 00:06:38 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=537  | Time=0.972123328
2025-04-01 00:06:43 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=497  | Time=0.877992204
2025-04-01 00:06:45 | INFO | api_module.py | 200 : Input_Tokens=8038 | Output_Tokens=827  | Time=1.31942254
2025-04-01 00:06:51 | INFO | api_module.py | 200 : Input_Tokens=8036 | Output_Tokens=1084  | Time=1.703458718
2025-04-01 00:06:55 | INFO | api_module.py | 200 : Input_Tokens=8038 | Output_Tokens=571  | Time=0.977603731
2025-04-01 00:06:59 | INFO | api_module.py | 200 : Input_Tokens=5955 | Output_Tokens=1094  | Time=1.6187084280000001
2025-04-01 00:07:01 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=606  | Time=1.305280394
2025-04-01 00:07:05 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=480  | Time=1.037820497
2025-04-01 00:07:10 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=560  | Time=1.040441902
2025-04-01 00:07:14 | INFO | api_module.py | 200 : Input_Tokens=8036 | Output_Tokens=575  | Time=1.03142564
2025-04-01 00:07:19 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=794  | Time=1.284958091
2025-04-01 00:07:23 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=465  | Time=1.003328546
2025-04-01 00:07:25 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=482  | Time=0.949026466
2025-04-01 00:07:28 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=840  | Time=1.500212482
2025-04-01 00:07:31 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=568  | Time=1.008271428
2025-04-01 00:07:34 | INFO | api_module.py | 200 : Input_Tokens=8037 | Output_Tokens=384  | Time=0.890926674
2025-04-01 00:07:44 | WARNING | api_module.py | Validation Unresolved on try 1
2025-04-01 00:07:51 | WARNING | api_module.py | Validation Unresolved on try 2
2025-04-01 00:07:56 | WARNING | api_module.py | Validation Unresolved on try 3
2025-04-01 00:07:56 | ERROR | api_module.py | COULDNT VALIDATE THE CHUNK, SKIPPING...
2025-04-01 00:07:56 | WARNING | api_module.py | status_code=422 error gettingid=<built-in function id>
2025-04-01 00:07:58 | INFO | api_module.py | 200 : Input_Tokens=8025 | Output_Tokens=245  | Time=0.577900636
2025-04-01 00:08:06 | INFO | api_module.py | 200 : Input_Tokens=8027 | Output_Tokens=790  | Time=1.5291506940000001
2025-04-01 00:08:09 | INFO | api_module.py | 200 : Input_Tokens=8026 | Output_Tokens=637  | Time=1.148810006
2025-04-01 00:08:12 | INFO | api_module.py | 200 : Input_Tokens=8026 | Output_Tokens=663  | Time=1.29095391
2025-04-01 00:08:15 | INFO | api_module.py | 200 : Input_Tokens=4149 | Output_Tokens=493  | Time=0.769376897
2025-04-01 00:08:17 | INFO | api_module.py | 200 : Input_Tokens=8026 | Output_Tokens=572  | Time=1.091251501
2025-04-01 00:08:19 | INFO | api_module.py | 200 : Input_Tokens=8026 | Output_Tokens=682  | Time=1.141841311
2025-04-01 00:08:22 | INFO | api_module.py | 200 : Input_Tokens=8026 | Output_Tokens=619  | Time=1.179921315
2025-04-01 00:08:24 | INFO | api_module.py | 200 : Input_Tokens=8025 | Output_Tokens=523  | Time=1.118888003
2025-04-01 00:08:28 | INFO | api_module.py | 200 : Input_Tokens=8026 | Output_Tokens=564  | Time=1.00293516
2025-04-01 00:08:30 | INFO | api_module.py | 200 : Input_Tokens=8026 | Output_Tokens=655  | Time=1.103255357
